,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
514,Amari Morgan-Smith,eng ENG,FWMF,Oldham Athletic,25,1989,13,3,381,4.2,2,0,2,2,0,0,2,0,0.47,0.00,0.47,0.47,0.47,Matches,6f7788d7
515,Aaron Morris,wls WAL,DFMF,Gillingham,24,1989,23,20,1687,18.7,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,256a3bdd
516,Glenn Morris,eng ENG,GK,Gillingham,30,1983,10,9,855,9.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5060edd1
517,Josh Morris,eng ENG,DFFW,Fleetwood Town,22,1991,45,43,3753,41.7,8,4,12,8,0,0,4,0,0.19,0.10,0.29,0.19,0.29,Matches,6449a543
518,Kieron Morris,eng ENG,FWMF,Walsall,20,1994,14,9,795,8.8,2,1,3,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches,d5bb505a
519,Sam Morsy,eg EGY,MF,Chesterfield,22,1991,39,39,3370,37.4,2,1,3,2,0,0,10,1,0.05,0.03,0.08,0.05,0.08,Matches,a23c0949
520,Dylan Mottley-Henry,eng ENG,MF,Bradford City,16,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,972a8f07
521,Jack Muldoon,eng ENG,FWMF,Rochdale,25,1989,3,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,088e1392
522,Oliver Muldoon,eng ENG,MF,Gillingham,19,1994,3,3,175,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21b62e36
523,Hayden Mullins,eng ENG,MF,Notts County,35,1979,32,32,2879,32.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,0e5ae692
524,Stewart Murdoch,sct SCO,DFMF,Fleetwood Town,24,1990,11,5,505,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,69414599
525,Jacob Murphy,eng ENG,DFFW,Colchester,19,1995,11,11,897,10.0,4,2,6,4,0,0,0,0,0.40,0.20,0.60,0.40,0.60,Matches,de112b84
526,Jacob Murphy,eng ENG,DFFW,Scunthorpe,19,1995,3,3,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de112b84
527,Jamie Murphy,sct SCO,FWMF,Sheffield United,24,1989,43,41,3755,41.7,11,7,18,11,0,0,3,0,0.26,0.17,0.43,0.26,0.43,Matches,6c96b263
528,Jordan Murphy,eng ENG,FW,Walsall,18,1996,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f17b181
529,Rhys Murphy,eng ENG,FW,Oldham Athletic,23,1990,11,3,415,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ced7a86c
530,Ronan Murray,ie IRL,FW,Notts County,22,1991,20,7,856,9.5,1,1,2,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,Matches,663949a6
531,Jennison Myrie-Williams,eng ENG,FWMF,Scunthorpe,26,1988,15,7,693,7.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,746fc1a0
532,Dany N'Guessan,fr FRA,FWMF,Port Vale,26,1987,11,10,765,8.5,2,1,3,1,1,1,0,0,0.24,0.12,0.35,0.12,0.24,Matches,b315c9be
533,Seth Nana Twumasi,eng ENG,DFMF,Yeovil Town,24,1990,25,18,1703,18.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ab233000
534,Chris Neal,eng ENG,GK,Port Vale,28,1985,40,40,3561,39.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,fc630b3c
535,Stuart Nelson,eng ENG,GK,Gillingham,32,1981,24,24,2115,23.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1fdf595b
536,Jamie Ness,sct SCO,MF,Crewe Alexandra,23,1991,34,31,2677,29.7,2,2,4,2,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches,c303f6b9
537,Joe Newell,eng ENG,MF,Peterborough,21,1993,39,35,3110,34.6,2,3,5,2,0,0,9,1,0.06,0.09,0.14,0.06,0.14,Matches,4751ecdf
538,Sean Newton,eng ENG,DF,Notts County,25,1988,8,6,527,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19680057
539,Alex Nimely,eng ENG,FW,Port Vale,23,1991,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5597a4d
540,David Noble,eng ENG,MF,Oldham Athletic,32,1982,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,80406167
541,Liam Noble,eng ENG,MF,Notts County,23,1991,33,30,2672,29.7,5,2,7,4,1,1,13,3,0.17,0.07,0.24,0.13,0.20,Matches,3b21a4f4
542,Reuben Noble-Lazarus,eng ENG,FWMF,Rochdale,20,1993,19,7,860,9.6,1,1,2,1,0,0,3,0,0.10,0.10,0.21,0.10,0.21,Matches,94936663
543,Reuben Noble-Lazarus,eng ENG,FWMF,Barnsley,20,1993,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94936663
544,Eddie Nolan,ie IRL,DF,Scunthorpe,25,1988,6,4,415,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3144c7fa
545,Liam Nolan,nir NIR,MF,Crewe Alexandra,19,1994,13,6,708,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b1adf20b
546,David Norris,eng ENG,MF,Peterborough,33,1981,8,3,363,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3436e03d
547,Luke Norris,eng ENG,FW,Gillingham,21,1993,37,13,1371,15.2,6,1,7,6,0,1,3,0,0.39,0.07,0.46,0.39,0.46,Matches,6158b76c
548,Frank Nouble,eng ENG,FWMF,Coventry City,22,1991,31,28,2460,27.3,6,3,9,6,0,0,5,0,0.22,0.11,0.33,0.22,0.33,Matches,0a8e46da
549,Kgosi Ntlhe,za RSA,DF,Peterborough,20,1994,28,25,2173,24.1,1,0,1,1,0,0,3,2,0.04,0.00,0.04,0.04,0.04,Matches,792dd871
550,Ben Nugent,eng ENG,DF,Yeovil Town,21,1992,23,23,1950,21.7,1,0,1,1,0,0,7,2,0.05,0.00,0.05,0.05,0.05,Matches,1983c45d
551,Lewin Nyatanga,wls WAL,DF,Barnsley,25,1988,45,45,4038,44.9,5,2,7,5,0,0,5,0,0.11,0.04,0.16,0.11,0.16,Matches,3c1ad530
552,Jim O'Brien,ie IRL,DFFW,Coventry City,26,1987,44,43,3675,40.8,6,7,13,6,0,0,6,0,0.15,0.17,0.32,0.15,0.32,Matches,f1fda54f
553,Jack O'Connell,eng ENG,DF,Rochdale,20,1994,29,28,2585,28.7,5,3,8,5,0,0,2,0,0.17,0.10,0.28,0.17,0.28,Matches,312626c1
554,Emmett O'Connor,ca CAN,MF,Crawley Town,21,1992,4,1,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d01c06c7
555,James O'Connor,eng ENG,DF,Walsall,29,1984,32,30,2703,30.0,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches,849c41fb
556,Michael O'Connor,nir NIR,FWMF,Port Vale,26,1987,44,44,3795,42.2,6,7,13,3,3,3,8,0,0.14,0.17,0.31,0.07,0.24,Matches,68192fe7
557,Richard O'Donnell,eng ENG,GK,Walsall,25,1988,44,44,3960,44.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,89265c89
558,Michael O'Donoghue,ie IRL,DF,Colchester,18,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5247adb5
