 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
402,Louis Laing,eng ENG,DF,Wycombe,18,1993,11,10,866,9.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,827ae666
403,Marc Laird,sct SCO,MF,Leyton Orient,25,1986,22,11,1147,12.7,2,0,2,2,0,0,2,0,0.16,0.00,0.16,0.16,0.16,450a452e
404,Scott Laird,eng ENG,DF,Stevenage,23,1988,46,46,4018,44.6,8,3,11,8,0,1,3,0,0.18,0.07,0.25,0.18,0.25,b905af28
405,Olly Lancashire,eng ENG,DF,Walsall,22,1988,20,17,1589,17.7,1,1,2,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,fae0e3e3
406,Colin Larkin,ie IRL,FW,Hartlepool,29,1982,2,2,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f0a25424
407,Jamaal Lascelles,eng ENG,DF,Stevenage,17,1993,7,5,479,5.3,1,0,1,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,450ab6fc
408,Dean Leacock,eng ENG,DFMF,Leyton Orient,27,1984,16,16,1368,15.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,c3cbae51
409,Emmanuel Ledesma,ar ARG,FWMF,Walsall,23,1988,10,9,795,8.8,4,2,6,4,0,0,2,0,0.45,0.23,0.68,0.45,0.68,fb79af97
410,Alan Lee,ie IRL,FW,Huddersfield,32,1978,31,18,1666,18.5,7,1,8,7,0,0,5,1,0.38,0.05,0.43,0.38,0.43,9e5eb5cd
411,Kieran Lee,eng ENG,DFMF,Oldham Athletic,23,1988,43,43,3870,43.0,2,2,4,2,0,0,4,0,0.05,0.05,0.09,0.05,0.09,3d0fca57
412,Richard Lee,eng ENG,GK,Brentford,28,1982,37,37,3285,36.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,624f2897
413,Tommy Lee,eng ENG,GK,Chesterfield,25,1986,35,35,3142,34.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,494c9721
414,Leon Legge,eng ENG,DF,Brentford,26,1985,28,23,2081,23.1,4,0,4,4,0,0,3,0,0.17,0.00,0.17,0.17,0.17,af131214
415,Jack Lester,eng ENG,FW,Chesterfield,35,1975,21,16,1389,15.4,3,1,4,3,0,0,4,0,0.19,0.06,0.26,0.19,0.26,81ecddc6
416,Dean Lewington,eng ENG,DFMF,MK Dons,27,1984,46,46,4119,45.8,3,2,5,3,0,0,7,0,0.07,0.04,0.11,0.07,0.11,2dc5fc1c
417,Stuart Lewis,eng ENG,DFMF,Wycombe,23,1987,41,38,3327,37.0,1,2,3,1,0,0,12,0,0.03,0.05,0.08,0.03,0.08,161470c1
418,Gary Liddle,eng ENG,DFMF,Hartlepool,25,1986,39,37,3345,37.2,4,0,4,4,0,0,7,0,0.11,0.00,0.11,0.11,0.11,6c3d5e53
419,Josh Lillis,eng ENG,GK,Scunthorpe,24,1987,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,b6940111
420,Chris Lines,eng ENG,MF,Sheffield Weds,25,1985,41,37,3354,37.3,3,12,15,3,0,0,4,0,0.08,0.32,0.40,0.08,0.40,d10c76c1
421,Kevin Lisbie,jm JAM,FW,Leyton Orient,32,1978,37,34,2918,32.4,12,4,16,10,2,2,4,0,0.37,0.12,0.49,0.31,0.43,e509ea01
422,Danny Livesey,eng ENG,DF,Carlisle United,26,1984,28,26,2281,25.3,1,4,5,1,0,0,3,0,0.04,0.16,0.20,0.04,0.20,3f27e09e
