,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
695,Danny Swanson,sct SCO,MF,Peterborough,26,1986,35,25,2108,23.4,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,a79b65cd
696,David Symington,eng ENG,DFMF,Carlisle United,19,1994,31,14,1625,18.1,1,1,2,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,a880597d
697,Sammie Szmodics,ie IRL,FWMF,Colchester,17,1995,7,0,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,39944392
698,Greg Tansey,eng ENG,MF,Stevenage,24,1988,19,14,1181,13.1,3,0,3,1,2,2,2,0,0.23,0.00,0.23,0.08,0.08,5bf1bd96
699,James Tarkowski,eng ENG,DF,Oldham Athletic,20,1992,26,26,2340,26.0,2,0,2,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,15ea812b
700,James Tarkowski,eng ENG,DF,Brentford,20,1992,13,13,1069,11.9,2,0,2,2,0,0,4,1,0.17,0.00,0.17,0.17,0.17,15ea812b
701,James Tavernier,eng ENG,DF,Shrewsbury,21,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,be765073
702,James Tavernier,eng ENG,DF,Rotherham,21,1991,27,27,2430,27.0,5,5,10,5,0,0,2,0,0.19,0.19,0.37,0.19,0.37,be765073
703,Andy Taylor,eng ENG,DF,Walsall,27,1986,33,32,2881,32.0,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,5c402d41
704,Ash Taylor,wls WAL,DFMF,Tranmere Rovers,22,1990,42,41,3708,41.2,3,1,4,3,0,0,5,1,0.07,0.02,0.10,0.07,0.10,3dc945b3
705,Jon Taylor,eng ENG,MF,Shrewsbury,21,1992,41,36,3322,36.9,9,2,11,9,0,0,3,1,0.24,0.05,0.30,0.24,0.30,e8e96ecf
706,Lyle Taylor,ms MSR,FW,Sheffield United,23,1990,20,9,944,10.5,2,0,2,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,3e80e04e
707,Martin Taylor,eng ENG,DF,Brentford,33,1979,5,5,409,4.5,2,0,2,2,0,0,0,0,0.44,0.00,0.44,0.44,0.44,08840bbf
708,Matt Taylor,eng ENG,DF,Bradford City,31,1982,2,1,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,55795167
709,Matt Taylor,eng ENG,DF,Colchester,31,1982,5,5,450,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,55795167
710,Paul Taylor,eng ENG,FW,Peterborough,25,1987,6,6,449,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,85892dff
711,Rob Taylor,eng ENG,DFFW,Port Vale,28,1985,6,1,196,2.2,1,1,2,1,0,0,0,0,0.46,0.46,0.92,0.46,0.92,54e89438
712,Ryan Taylor,eng ENG,FW,Bristol City,25,1988,7,2,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6898443e
713,Greg Tempest,nir NIR,MF,Notts County,19,1993,14,8,884,9.8,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,e927adc9
