,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
59,Marcus Bean,jm JAM,MF,Colchester,27,1984,31,26,2205,24.5,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,d7e4c65c
60,Chris Beardsley,eng ENG,FW,Preston,28,1984,19,12,1051,11.7,2,0,2,2,0,0,1,0,0.17,0.00,0.17,0.17,0.17,7aa4c2c8
61,Stuart Beavon,eng ENG,FW,Preston,28,1984,31,30,2553,28.4,6,4,10,6,0,0,2,0,0.21,0.14,0.35,0.21,0.35,540bcb3b
62,Mark Beck,sct SCO,FWMF,Carlisle United,18,1994,27,7,1050,11.7,4,3,7,4,0,0,0,0,0.34,0.26,0.60,0.34,0.60,60d58b05
63,Leigh Bedwell,eng ENG,GK,Swindon Town,18,1994,1,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d34708a6
64,Glenn Belezika,eng ENG,DF,Oldham Athletic,17,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,84dad67a
65,Cameron Belford,eng ENG,GK,Bury,23,1988,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,25e47120
66,David Bell,ie IRL,MF,Coventry City,28,1984,7,2,243,2.7,0,1,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,2c2ca58b
67,Abdulai Bell-Baggie,sl SLE,MF,Tranmere Rovers,20,1992,31,20,1763,19.6,1,1,2,1,0,0,0,0,0.05,0.05,0.10,0.05,0.10,a47cf156
68,Hamza Bencherif,dz ALG,DFMF,Notts County,24,1988,11,1,143,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,77bb7a30
69,Dale Bennett,eng ENG,DF,Yeovil Town,22,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,473fb36c
70,Julian Bennett,eng ENG,DF,Shrewsbury,27,1984,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,7a7e26a7
71,Kyle Bennett,eng ENG,MF,Doncaster,21,1990,35,26,2114,23.5,3,1,4,3,0,0,4,0,0.13,0.04,0.17,0.13,0.17,46b16c2c
72,Malvind Benning,eng ENG,DFMF,Walsall,18,1993,10,6,654,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,f7722d79
73,Paul Benson,eng ENG,FW,Swindon Town,32,1979,9,6,405,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,9585d6ce
74,Paul Benson,eng ENG,FW,Portsmouth,32,1979,7,7,602,6.7,2,0,2,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,9585d6ce
