 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
37,Jack Barmby,eng ENG,FWMF,Hartlepool,18,1994,17,12,991,11.0,5,4,9,5,0,0,3,0,0.45,0.36,0.82,0.45,0.82,1652adcc
38,Lee Barnard,eng ENG,FW,Southend United,29,1984,13,9,702,7.8,1,0,1,0,1,1,1,0,0.13,0.00,0.13,0.00,0.00,fceb93cc
39,Brian Barry-Murphy,ie IRL,MF,Rochdale,35,1978,3,3,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,bdbf887a
40,Chris Beardsley,eng ENG,FW,Bristol Rovers,29,1984,24,16,1455,16.2,1,1,2,1,0,0,2,1,0.06,0.06,0.12,0.06,0.12,7aa4c2c8
41,Shaun Beeley,eng ENG,DF,Morecambe,24,1988,12,11,859,9.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4dba97de
42,Shaun Beeley,eng ENG,DF,Bury,24,1988,20,20,1743,19.4,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,4dba97de
43,Lee Beevers,wls WAL,DFMF,Mansfield Town,29,1983,26,24,2002,22.2,0,1,1,0,0,0,1,1,0.00,0.04,0.04,0.00,0.04,1c8083e9
44,Lee Bell,eng ENG,DFMF,Burton Albion,30,1983,34,26,2299,25.5,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,e9acd900
45,Hamza Bencherif,dz ALG,DFMF,Plymouth Argyle,25,1988,7,5,350,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,77bb7a30
46,Alan Bennett,ie IRL,DF,AFC Wimbledon,31,1981,32,32,2738,30.4,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,46a58262
47,Mason Bennett,eng ENG,FWMF,Chesterfield,17,1996,5,1,159,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,aba031ad
48,Rhys Bennett,eng ENG,DF,Rochdale,21,1991,22,18,1722,19.1,0,2,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,50c7de8f
49,Scot Bennett,eng ENG,DFMF,Exeter City,22,1990,45,44,3984,44.3,6,1,7,6,0,0,1,0,0.14,0.02,0.16,0.14,0.16,911c7cec
50,Daniel Bentley,eng ENG,GK,Southend United,20,1993,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,68db6358
51,Elliot Benyon,eng ENG,FW,Torquay United,25,1987,37,23,2006,22.3,3,2,5,3,0,0,5,0,0.13,0.09,0.22,0.13,0.22,d5e92a6b
52,Durrell Berry,eng ENG,DF,Plymouth Argyle,21,1992,32,27,2436,27.1,1,2,3,1,0,0,9,0,0.04,0.07,0.11,0.04,0.11,468a942c
53,Marcus Bettinelli,eng ENG,GK,Accrington,21,1992,39,39,3510,39.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0d85a4e8
54,Matt Bevans,eng ENG,DF,Oxford United,19,1993,10,9,841,9.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,763d6ef5
55,Billy Bingham,eng ENG,DFMF,Dag & Red,23,1990,30,23,1872,20.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,fd084a71
56,Ryan Bird,eng ENG,FW,Portsmouth,25,1987,18,5,629,7.0,3,0,3,3,0,0,1,0,0.43,0.00,0.43,0.43,0.43,4e85899f
57,Andre Blackman,eng ENG,DFMF,Plymouth Argyle,22,1990,6,3,334,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4519be7a
58,Matty Blair,eng ENG,DFMF,Northampton,24,1989,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,14455ab7
59,Matty Blair,eng ENG,DFMF,Fleetwood Town,24,1989,24,13,1187,13.2,3,0,3,3,0,0,2,0,0.23,0.00,0.23,0.23,0.23,14455ab7
60,Darcy Blake,wls WAL,DFMF,Newport County,24,1988,8,8,713,7.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,c86f0739
61,Jack Blake,sct SCO,MF,Mansfield Town,18,1994,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,68cd160e
62,Maxime Blanchard,fr FRA,DFMF,Plymouth Argyle,26,1986,36,34,3077,34.2,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,0eaeb240
63,Dominic Blizzard,eng ENG,MF,Plymouth Argyle,29,1983,26,21,1851,20.6,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,4a05e540
64,Matt Bloomfield,eng ENG,MF,Wycombe,29,1984,32,25,2220,24.7,0,3,3,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,a57ae0ee
65,Jacob Blyth,eng ENG,FW,Northampton,20,1992,11,8,737,8.2,3,0,3,3,0,0,0,0,0.37,0.00,0.37,0.37,0.37,419dfe1f
66,Romuald Boco,bj BEN,MF,Plymouth Argyle,28,1985,27,22,1755,19.5,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,8b5befda
67,Billy Bodin,wls WAL,FWMF,Torquay United,21,1992,27,23,1857,20.6,1,3,4,1,0,0,1,0,0.05,0.15,0.19,0.05,0.19,49eb2779
68,Cian Bolger,ie IRL,DF,Southend United,21,1992,1,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,53d53255
69,Andrew Bond,eng ENG,DFMF,Bristol Rovers,27,1986,5,5,431,4.8,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0a2e8037
