,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
69,James Berrett,ie IRL,MF,York City,26,1989,36,33,2985,33.2,4,3,7,4,0,0,10,0,0.12,0.09,0.21,0.12,0.21,Matches,7993b498
70,Luke Berry,eng ENG,MF,Cambridge,23,1992,46,41,3786,42.1,12,5,17,9,3,4,8,0,0.29,0.12,0.40,0.21,0.33,Matches,2aaadf33
71,Rakish Bingham,eng ENG,FW,Hartlepool,21,1993,31,18,1804,20.0,4,5,9,4,0,1,2,0,0.20,0.25,0.45,0.20,0.45,Matches,2f74966e
72,Jerome Binnom-Williams,eng ENG,DFMF,Leyton Orient,20,1995,13,12,1113,12.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34da23fc
73,Ryan Bird,eng ENG,FW,Yeovil Town,27,1987,36,19,1940,21.6,8,0,8,8,0,0,4,0,0.37,0.00,0.37,0.37,0.37,Matches,4e85899f
74,Colby Bishop,eng ENG,FW,Notts County,18,1996,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a7dee3b
75,James Bittner,eng ENG,GK,Plymouth Argyle,33,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb377e8b
76,Jack Blackford,eng ENG,MF,Hartlepool,17,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c786109b
77,Tyler Blackwood,eng ENG,FWMF,Newport County,24,1991,3,1,146,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches,88d1926e
78,Matty Blair,eng ENG,DFMF,Mansfield Town,26,1989,32,20,1841,20.5,2,4,6,2,0,0,2,0,0.10,0.20,0.29,0.10,0.29,Matches,14455ab7
79,Nathan Blissett,eng ENG,FW,Bristol Rovers,25,1990,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,827ecad9
80,Matt Bloomfield,eng ENG,MF,Wycombe,31,1984,27,20,1792,19.9,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,a57ae0ee
81,Jacob Blyth,eng ENG,FW,Cambridge,22,1992,5,2,254,2.8,1,0,1,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,419dfe1f
82,Hiram Boateng,eng ENG,FWMF,Plymouth Argyle,19,1996,24,22,1804,20.0,1,1,2,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,929917ce
83,Romuald Boco,bj BEN,MF,Portsmouth,30,1985,4,2,175,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b5befda
84,Romuald Boco,bj BEN,MF,Accrington,30,1985,11,6,459,5.1,2,0,2,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,8b5befda
85,Scott Boden,eng ENG,FWMF,Newport County,25,1989,45,30,2859,31.8,13,2,15,13,0,0,4,0,0.41,0.06,0.47,0.41,0.47,Matches,36971f53
86,Billy Bodin,wls WAL,FWMF,Bristol Rovers,23,1992,38,26,2583,28.7,13,3,16,13,0,0,0,0,0.45,0.10,0.56,0.45,0.56,Matches,49eb2779
87,Andrew Bond,eng ENG,DFMF,Crawley Town,29,1986,12,11,967,10.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0a2e8037
88,Andre Boucaud,tt TRI,MF,Dag & Red,30,1984,25,21,1960,21.8,0,2,2,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,24ed0071
89,Jordan Bowery,kn SKN,DFFW,Oxford United,24,1991,17,9,885,9.8,7,1,8,7,0,0,0,0,0.71,0.10,0.81,0.71,0.81,Matches,8f5a4e15
90,Andrew Boyce,eng ENG,DFMF,Hartlepool,25,1989,8,7,702,7.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,375aaca1
91,Andrew Boyce,eng ENG,DFMF,Notts County,25,1989,3,3,237,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,375aaca1
92,Will Boyle,eng ENG,DF,York City,19,1995,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,04d98300
93,Sonny Bradley,eng ENG,DF,Crawley Town,23,1991,46,46,4116,45.7,1,0,1,1,0,0,5,0,0.02,0.00,0.02,0.02,0.02,Matches,94ffccb3
94,Shaun Brisley,eng ENG,DF,Northampton,25,1990,9,9,702,7.8,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,cf4522d0
95,Shaun Brisley,eng ENG,DF,Leyton Orient,25,1990,16,16,1317,14.6,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,cf4522d0
96,Ryan Broom,wls WAL,MF,Bristol Rovers,18,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6aab1d1
97,Patrick Brough,eng ENG,DFMF,Carlisle United,19,1996,7,6,460,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4fdba4d6
98,Lee Brown,eng ENG,DF,Bristol Rovers,24,1990,46,46,4140,46.0,6,7,13,6,0,0,8,0,0.13,0.15,0.28,0.13,0.28,Matches,315f6ae9
99,Scott Brown,eng ENG,MF,Accrington,30,1985,13,8,805,8.9,3,0,3,3,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,8adefff9
100,Troy Brown,wls WAL,DF,Exeter City,24,1990,40,39,3468,38.5,1,1,2,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,Matches,1b63a767
