,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
44,Kyle Bartley,eng ENG,DF,West Brom,30,1991,39,38,3439,38.2,2,1,3,2,0,0,7,0,0.05,0.03,0.08,0.05,0.08,Matches,18e96f64
45,Chris Basham,eng ENG,DF,Sheffield United,33,1988,28,24,2202,24.5,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,1aa84968
46,Amine Bassi,fr FRA,MFFW,Barnsley,23,1997,15,14,1199,13.3,2,5,7,2,0,0,0,0,0.15,0.38,0.53,0.15,0.53,Matches,ced1d98f
47,Danny Batth,eng ENG,DF,Stoke City,30,1990,11,10,913,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f1d0fa63
48,Patrick Bauer,de GER,DF,Preston,28,1992,34,34,2858,31.8,3,0,3,3,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,1bd6bc77
49,Nathan Baxter,eng ENG,GK,Hull City,22,1998,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5cfbc814
50,Jake Beesley,eng ENG,FW,Blackpool,24,1996,6,4,344,3.8,2,1,3,2,0,0,0,0,0.52,0.26,0.78,0.52,0.78,Matches,71df6e0e
51,Mark Beevers,eng ENG,DF,Peterborough,31,1989,14,14,1152,12.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,30bea884
52,Jérémie Bela,ao ANG,MFDF,Birmingham City,28,1993,31,26,2300,25.6,2,4,6,2,0,0,3,0,0.08,0.16,0.23,0.08,0.23,Matches,5680bf3f
53,Amari'i Bell,jm JAM,MFDF,Luton Town,27,1994,41,40,3580,39.8,1,2,3,1,0,0,3,0,0.03,0.05,0.08,0.03,0.08,Matches,399e9474
54,Sam Bell,eng ENG,DFMF,Bristol City,19,2002,5,3,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a95abffc
55,Jobe Bellingham,eng ENG,MF,Birmingham City,15,2005,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c88ff68d
56,Ayman Benarous,eng ENG,MF,Bristol City,18,2003,11,7,604,6.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f60f6746
57,Steven Benda,de GER,GK,Peterborough,22,1998,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,caaa7fab
58,Steven Benda,de GER,GK,Swansea City,22,1998,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,caaa7fab
59,Mason Bennett,eng ENG,FWMF,Millwall,25,1996,29,16,1383,15.4,3,0,3,3,0,0,5,0,0.20,0.00,0.20,0.20,0.20,Matches,aba031ad
60,Ryan Bennett,eng ENG,DF,Swansea City,31,1990,18,16,1437,16.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,0bad4516
61,Josh Benson,eng ENG,MF,Barnsley,21,1999,25,14,1362,15.1,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,bf3aeb61
62,Daniel Bentley,eng ENG,GK,Bristol City,28,1993,38,37,3358,37.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,68db6358
63,Sander Berge,no NOR,MF,Sheffield United,23,1998,31,22,2082,23.1,5,3,8,5,0,0,2,0,0.22,0.13,0.35,0.22,0.35,Matches,d0b6129f
64,Di'Shon Bernard,jm JAM,DF,Hull City,20,2000,26,24,2143,23.8,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,c21da05c
65,Luke Berry,eng ENG,MF,Luton Town,29,1992,13,10,709,7.9,6,2,8,6,0,0,2,0,0.76,0.25,1.02,0.76,1.02,Matches,2aaadf33
66,Bartosz Białkowski,pl POL,GK,Millwall,34,1987,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4b5e809f
67,Jake Bidwell,eng ENG,MFDF,Coventry City,28,1993,16,13,1138,12.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,676b6c9b
68,Jake Bidwell,eng ENG,MF,Swansea City,28,1993,16,16,1361,15.1,2,1,3,2,0,0,2,0,0.13,0.07,0.20,0.13,0.20,Matches,676b6c9b
69,Krystian Bielik,pl POL,MF,Derby County,23,1998,15,12,1003,11.1,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,8e0ec853
70,Philip Billing,dk DEN,MF,Bournemouth,25,1996,40,37,3304,36.7,10,10,20,10,0,0,13,0,0.27,0.27,0.54,0.27,0.54,Matches,d328a254
71,Max Bird,eng ENG,MF,Derby County,20,2000,42,41,3614,40.2,2,2,4,2,0,0,2,1,0.05,0.05,0.10,0.05,0.10,Matches,46d27ca0
72,Jamal Blackman,eng ENG,GK,Huddersfield,27,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dd26b605
73,Jayden Bogle,eng ENG,MFDF,Sheffield United,21,2000,18,16,1468,16.3,3,1,4,3,0,0,5,0,0.18,0.06,0.25,0.18,0.25,Matches,ae5019e6
