,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
58,James Belshaw,eng ENG,GK,Harrogate Town,27,1990,45,45,4050,45.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bfca678d
59,Dale Bennett,eng ENG,DF,Sutton United,28,1990,41,41,3552,39.5,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,473fb36c
60,Jacob Berkeley-Agyepong,gd GRN,MFFW,Aldershot Town,21,1997,27,19,1674,18.6,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,61ece6ec
61,Dominic Bernard,ie IRL,DFMF,Aldershot Town,21,1997,35,34,2979,33.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,a87cad26
62,James Berrett,ie IRL,MFDF,FC Halifax Town,29,1989,26,26,2214,24.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,7993b498
63,Mahrez Bettache,eng ENG,MF,Braintree Town,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98ac9c30
64,Mohamed Bettamer,ly LBY,FWMF,Braintree Town,25,1993,15,14,1255,13.9,6,0,6,5,1,1,1,0,0.43,0.00,0.43,0.36,0.36,Matches,7d3c8df9
65,Mohamed Bettamer,ly LBY,FW,Barnet,25,1993,3,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d3c8df9
66,Laurence Bilboe,eng ENG,GK,Havant & W'ville,20,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4caf3255
67,Jerome Binnom-Williams,eng ENG,DFMF,Chesterfield,23,1995,32,25,2316,25.7,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,34da23fc
68,Arlen Birch,eng ENG,DFMF,Fylde,21,1996,26,19,1844,20.5,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,5265e11a
69,Ryan Bird,eng ENG,FWMF,Maidenhead,30,1987,24,13,1192,13.2,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,4e85899f
70,James Blanchfield,eng ENG,MF,Dag & Red,20,1997,5,1,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,69ac85ac
71,Nathan Blissett,eng ENG,FWMF,Solihull Moors,28,1990,22,20,1641,18.2,9,0,9,9,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches,827ecad9
72,Mason Bloomfield,eng ENG,FW,Fylde,21,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b6ee244
73,Jacob Blyth,eng ENG,FWMF,Barrow,25,1992,24,16,1392,15.5,3,0,3,2,1,1,3,0,0.19,0.00,0.19,0.13,0.13,Matches,419dfe1f
74,Scott Boden,eng ENG,FW,Chesterfield,28,1989,15,14,1193,13.3,10,0,10,7,3,3,1,0,0.75,0.00,0.75,0.53,0.53,Matches,36971f53
75,Scott Boden,eng ENG,FW,Gateshead,28,1989,29,27,2430,27.0,11,0,11,9,2,2,3,0,0.41,0.00,0.41,0.33,0.33,Matches,36971f53
76,Djamel Boerstra,nl NED,FW,Havant & W'ville,26,1992,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52a7d878
77,Tom Bolarinwa,eng ENG,MFDF,Sutton United,28,1990,37,22,2217,24.6,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,a18a6b46
78,Andrew Bond,eng ENG,MFDF,Fylde,32,1986,34,25,2274,25.3,6,0,6,6,0,0,4,0,0.24,0.00,0.24,0.24,0.24,Matches,0a2e8037
79,Elliot Bonds,gy GUY,MF,Dag & Red,18,2000,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a39f9c4f
80,Macauley Bonne,zw ZIM,FW,Leyton Orient,22,1995,46,46,4135,45.9,23,0,23,17,6,6,6,0,0.50,0.00,0.50,0.37,0.37,Matches,9ca8b21c
81,Ryan Boot,eng ENG,GK,Solihull Moors,23,1994,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,42d8ac7e
82,Regan Booty,eng ENG,MFDF,Aldershot Town,20,1998,38,33,2917,32.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,66fe775c
83,Oscar Borg,eng ENG,DFMF,Braintree Town,20,1997,16,12,1092,12.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,908b9ac0
84,Andre Boucaud,tt TRI,MFDF,Barnet,33,1984,16,13,1108,12.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,24ed0071
85,Martyn Box,eng ENG,DF,Barnet,17,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6737e41e
86,Andrew Boyce,eng ENG,MFDF,Eastleigh,28,1989,39,37,3301,36.7,3,0,3,3,0,0,5,1,0.08,0.00,0.08,0.08,0.08,Matches,375aaca1
87,Alex Bradley,fi FIN,MFDF,Havant & W'ville,19,1999,9,4,419,4.7,2,0,2,2,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,54042628
88,Daniel Bradley,eng ENG,DFMF,Fylde,27,1991,13,12,1053,11.7,1,0,1,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,ed94fef6
89,Tom Brewitt,eng ENG,DFMF,Fylde,21,1997,16,8,729,8.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,30c268ea
90,Dean Brill,eng ENG,GK,Leyton Orient,32,1985,46,46,4140,46.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,028b9b6f
91,Richard Brindley,eng ENG,DFMF,Bromley,25,1993,33,32,2889,32.1,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,a7588b8d
92,Harry Brockbank,eng ENG,DF,Salford City FC,19,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e169041
93,James Brophy,eng ENG,MF,Leyton Orient,24,1994,37,22,2387,26.5,3,0,3,3,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,e58bc5d1
94,Connor Brown,eng ENG,DF,Barrow,25,1992,30,25,2180,24.2,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,44aea7fc
95,Matty Brown,eng ENG,DFMF,FC Halifax Town,28,1990,41,41,3648,40.5,2,0,2,2,0,0,6,1,0.05,0.00,0.05,0.05,0.05,Matches,23ea840e
96,Wayne Brown,eng ENG,MF,Sutton United,29,1988,14,9,749,8.3,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,f32c65c3
97,Mitch Brundle,eng ENG,DFMF,Dover Athletic,23,1994,45,45,4050,45.0,8,0,8,7,1,1,5,0,0.18,0.00,0.18,0.16,0.16,Matches,3e061157
98,Omar Bugiel,lb LIB,FWMF,Bromley,24,1994,32,20,1814,20.2,6,0,6,6,0,0,8,0,0.30,0.00,0.30,0.30,0.30,Matches,d8b822c7
99,Luke Burgess,eng ENG,MFDF,Barrow,19,1999,25,14,1305,14.5,1,0,1,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,Matches,54e7092c
100,Scott Burgess,eng ENG,MF,Wrexham,20,1997,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,484d449c
101,Luke Burke,eng ENG,DFMF,Fylde,20,1998,27,25,2110,23.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,deeeadd3
