,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
53,Andre Boucaud,tt TRI,MF,Luton Town,26,1984,7,4,363,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,24ed0071
54,Ryan Bowman,eng ENG,FW,Darlington,19,1991,40,28,2728,30.3,10,2,12,9,1,2,2,0,0.33,0.07,0.40,0.30,0.36,89880099
55,Adam Boyes,eng ENG,FW,Barrow,20,1990,42,39,3469,38.5,16,5,21,15,1,1,4,0,0.42,0.13,0.54,0.39,0.52,d39335c5
56,Marc Bridge-Wilkinson,eng ENG,MF,Darlington,32,1979,28,23,2154,23.9,6,4,10,1,5,5,7,0,0.25,0.17,0.42,0.04,0.21,1eb5637f
57,David Bridges,eng ENG,MF,Kettering Town,28,1982,35,33,2933,32.6,3,0,3,3,0,1,2,0,0.09,0.00,0.09,0.09,0.09,70f656a5
58,Keith Briggs,eng ENG,MF,Fleetwood Town,29,1981,16,8,865,9.6,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,afebe639
59,Louis Briscoe,eng ENG,FWMF,Mansfield Town,23,1988,38,25,2333,25.9,12,4,16,12,0,0,4,1,0.46,0.15,0.62,0.46,0.62,82110bb9
60,Michael Briscoe,eng ENG,DF,Harriers,28,1983,13,12,955,10.6,0,1,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,8b8f29d4
61,Martin Brittain,eng ENG,MF,Gateshead,26,1984,20,10,910,10.1,3,6,9,3,0,0,0,0,0.30,0.59,0.89,0.30,0.89,674a49e7
62,Richard Brodie,eng ENG,FW,Fleetwood Town,24,1987,34,16,1711,19.0,9,7,16,8,1,1,12,1,0.47,0.37,0.84,0.42,0.79,1523e245
63,Stephen Brogan,eng ENG,DF,Alfreton Town,23,1988,2,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8364660c
64,Ryan Brooke,eng ENG,FW,Telford United,20,1990,11,6,599,6.7,2,0,2,2,0,0,4,0,0.30,0.00,0.30,0.30,0.30,537c2666
65,Ryan Brooke,eng ENG,FW,Barrow,20,1990,6,1,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,537c2666
66,Michael Brough,wls WAL,MF,Darlington,29,1981,6,2,267,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,03eceb74
67,Drewe Broughton,eng ENG,FW,Alfreton Town,32,1978,2,2,155,1.7,1,0,1,0,1,1,0,1,0.58,0.00,0.58,0.00,0.00,48875315
68,Drewe Broughton,eng ENG,FW,Darlington,32,1978,11,11,917,10.2,1,2,3,1,0,0,3,1,0.10,0.20,0.29,0.10,0.29,48875315
69,Aaron Brown,eng ENG,DFMF,Darlington,31,1980,30,30,2606,29.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,831ba14a
70,Jonathan Brown,wls WAL,FWMF,Southport,21,1990,20,11,1032,11.5,2,1,3,2,0,0,0,0,0.17,0.09,0.26,0.17,0.26,4ec934f3
71,Jonathan Brown,wls WAL,FWMF,Telford United,21,1990,13,13,1167,13.0,1,3,4,1,0,0,0,0,0.08,0.23,0.31,0.08,0.31,4ec934f3
72,Junior Brown,eng ENG,DFMF,Fleetwood Town,22,1989,16,13,1116,12.4,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,7a094557
73,Scott Brown,eng ENG,MF,Fleetwood Town,26,1985,9,8,655,7.3,0,2,2,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,8adefff9
74,Scott Brown,eng ENG,MF,York City,26,1985,7,6,402,4.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,8adefff9
75,Ryan Brunt,eng ENG,FW,Luton Town,18,1993,5,0,105,1.2,0,1,1,0,0,0,0,0,0.00,0.86,0.86,0.00,0.86,d784a35e
76,Joe Bryan,eng ENG,DFMF,Bath City,17,1993,4,1,115,1.3,1,1,2,1,0,0,0,0,0.78,0.78,1.57,0.78,1.57,af69e7f0
77,Matt Bulman,eng ENG,GK,Forest Green,24,1986,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1bf9b74e
