,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
317,Sergei Kornilenko,by BLR,FW,Blackpool,27,1983,6,3,179,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,be1797d6
318,Laurent Koscielny,fr FRA,DF,Arsenal,24,1985,30,30,2615,29.1,2,0,2,2,0,0,7,2,0.07,0,0.07,0.07,0.07,Matches,f5efb153
319,Radoslav Kováč,cz CZE,DFMF,West Ham,30,1979,13,7,634,7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,cf3f2f6d
320,Niko Kranjčar,hr CRO,MF,Tottenham,25,1984,13,2,380,4.2,2,0,2,2,0,0,1,0,0.47,0,0.47,0.47,0.47,Matches,403d2184
321,Tim Krul,nl NED,GK,Newcastle,22,1988,21,20,1856,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f23f9d20
322,Shefki Kuqi,fi FIN,FW,Newcastle,33,1976,6,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1e05027f
323,Tomasz Kuszczak,pl POL,GK,Manchester Utd,28,1982,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a924380b
324,Dirk Kuyt,nl NED,DFFW,Liverpool,30,1980,33,32,2815,31.3,13,7,20,8,5,5,3,0,0.42,0.22,0.64,0.26,0.48,Matches,cd53ecf4
325,Sotirios Kyrgiakos,gr GRE,DF,Liverpool,31,1979,16,10,1083,12,2,0,2,2,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches,2bc82fdc
326,Louis Laing,eng ENG,DF,Sunderland,17,1993,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,827ae666
327,Frank Lampard,eng ENG,MF,Chelsea,32,1978,24,23,2024,22.5,10,2,12,6,4,5,2,0,0.44,0.09,0.53,0.27,0.36,Matches,268df6b1
328,Sebastian Larsson,se SWE,MF,Birmingham City,25,1985,35,31,2833,31.5,4,6,10,3,1,1,5,0,0.13,0.19,0.32,0.1,0.29,Matches,b26efc36
329,Jens Lehmann,de GER,GK,Arsenal,40,1969,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d1ca1129
330,Lucas Leiva,br BRA,MF,Liverpool,23,1987,33,32,2857,31.7,0,1,1,0,0,0,8,1,0,0.03,0.03,0,0.03,Matches,4c78b5ed
331,Aaron Lennon,eng ENG,FWMF,Tottenham,23,1987,34,25,2361,26.2,3,2,5,3,0,0,1,0,0.11,0.08,0.19,0.11,0.19,Matches,2ff964a0
332,Joleon Lescott,eng ENG,DF,Manchester City,27,1982,22,20,1884,20.9,3,1,4,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,Matches,62393d3b
333,Eric Lichaj,us USA,DF,Aston Villa,21,1988,5,3,274,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,7636a420
334,Amine Linganzi,cg CGO,MF,Blackburn,20,1989,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e465378c
335,Adrián López,es ESP,DF,Wigan Athletic,23,1987,1,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,70392341
336,Jason Lowe,eng ENG,DFMF,Blackburn,18,1991,1,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e000b843
337,Kazenga LuaLua,cd COD,FWMF,Newcastle,19,1990,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d732d28a
338,David Luiz,br BRA,DFMF,Chelsea,23,1987,12,11,953,10.6,2,0,2,2,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches,c0e27d1a
339,Craig Lynch,eng ENG,FWMF,Sunderland,18,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,243a84ca
340,Peter Løvenkrands,dk DEN,FWMF,Newcastle,30,1980,25,18,1451,16.1,6,3,9,6,0,0,0,0,0.37,0.19,0.56,0.37,0.56,Matches,609f6984
341,Federico Macheda,it ITA,FW,Manchester Utd,18,1991,7,2,220,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches,e14daddc
342,Jean Makoun,cm CMR,MF,Aston Villa,27,1983,7,7,552,6.1,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,728c9139
343,Steed Malbranque,fr FRA,MF,Sunderland,30,1980,35,24,2166,24.1,0,3,3,0,0,1,3,0,0,0.12,0.12,0,0.12,Matches,e3df61bc
344,Florent Malouda,fr FRA,FWMF,Chelsea,30,1980,38,33,2799,31.1,13,4,17,13,0,0,1,0,0.42,0.13,0.55,0.42,0.55,Matches,6fe6d820
345,Michael Mancienne,sc SEY,DFMF,Wolves,22,1988,16,13,1116,12.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2db3ae0a
346,Obafemi Martins,ng NGA,FW,Birmingham City,25,1984,4,3,248,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,70849fc2
347,Javier Mascherano,ar ARG,DFMF,Liverpool,26,1984,1,1,77,0.9,0,1,1,0,0,0,0,0,0,1.17,1.17,0,1.17,Matches,5070881b
348,James McArthur,sct SCO,MF,Wigan Athletic,22,1987,18,3,557,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cee31595
349,Benni McCarthy,za RSA,FW,West Ham,32,1977,6,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a6f401c6
350,James McCarthy,ie IRL,MF,Wigan Athletic,19,1990,24,24,1976,22,3,1,4,3,0,0,2,0,0.14,0.05,0.18,0.14,0.18,Matches,64b08de7
351,Josh McEachran,eng ENG,MF,Chelsea,17,1993,9,1,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,48565585
352,James McFadden,sct SCO,FWMF,Birmingham City,27,1983,4,3,276,3.1,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches,2cfdae75
353,Ryan McGivern,nir NIR,DF,Manchester City,20,1990,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4c2e7e85
354,Callum McManaman,eng ENG,FWMF,Wigan Athletic,19,1991,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1a5dbcc2
355,Raul Meireles,pt POR,MF,Liverpool,27,1983,33,32,2523,28,5,5,10,5,0,0,5,0,0.18,0.18,0.36,0.18,0.36,Matches,e767cd27
356,Abdoulaye Méïté,ci CIV,DF,West Brom,29,1980,10,10,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2b548af1
357,John Mensah,gh GHA,DF,Sunderland,27,1982,18,15,1193,13.3,0,1,1,0,0,0,5,1,0,0.08,0.08,0,0.08,Matches,142ed694
358,David Meyler,ie IRL,MF,Sunderland,21,1989,5,4,259,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,8ea6417a
359,Simon Mignolet,be BEL,GK,Sunderland,22,1988,23,23,2070,23,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,d436eb94
360,Nenad Milijaš,rs SRB,MF,Wolves,27,1983,23,20,1713,19,2,3,5,2,0,0,1,0,0.11,0.16,0.26,0.11,0.26,Matches,10206347
361,Ishmael Miller,eng ENG,FW,West Brom,23,1987,6,0,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,58f1973e
362,James Milner,eng ENG,DFMF,Aston Villa,24,1986,1,1,84,0.9,1,0,1,1,0,0,0,0,1.07,0,1.07,1.07,1.07,Matches,2f90f6b8
363,James Milner,eng ENG,DFMF,Manchester City,24,1986,32,23,2050,22.8,0,6,6,0,0,0,4,0,0,0.26,0.26,0,0.26,Matches,2f90f6b8
364,Luka Modrić,hr CRO,MF,Tottenham,24,1985,32,32,2793,31,3,2,5,2,1,1,3,0,0.1,0.06,0.16,0.06,0.13,Matches,6025fab1
365,Josh Morris,eng ENG,DFFW,Blackburn,18,1991,4,0,87,1,0,1,1,0,0,0,0,0,0,1.03,1.03,0,1.03,Matches,6449a543
366,James Morrison,sct SCO,FWMF,West Brom,24,1986,31,26,2269,25.2,4,3,7,4,0,0,2,1,0.16,0.12,0.28,0.16,0.28,Matches,21a66e33
367,Victor Moses,ng NGA,FWMF,Wigan Athletic,19,1990,21,8,815,9.1,1,3,4,1,0,0,1,0,0.11,0.33,0.44,0.11,0.44,Matches,e726e11e
368,Steven Mouyokolo,cg CGO,DF,Wolves,23,1987,4,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6d60be73
369,Fabrice Muamba,eng ENG,MF,Bolton,22,1988,36,32,2581,28.7,1,0,1,1,0,0,6,0,0.03,0,0.03,0.03,0.03,Matches,f5a2bebe
370,Geoffrey Mujangi Bia,be BEL,MF,Wolves,20,1989,1,0,12,0.1,0,1,1,0,0,0,0,0,0,7.5,7.5,0,7.5,Matches,3a90713b
371,Youssouf Mulumbu,cd COD,MF,West Brom,23,1987,34,34,2851,31.7,6,1,7,6,0,0,9,2,0.19,0.03,0.22,0.19,0.22,Matches,a275b145
372,Sulley Muntari,gh GHA,MF,Sunderland,25,1984,9,7,534,5.9,0,2,2,0,0,0,2,0,0,0.34,0.34,0,0.34,Matches,e185aa52
373,Danny Murphy,eng ENG,MF,Fulham,33,1977,37,37,3111,34.6,0,4,4,0,0,0,8,0,0,0.12,0.12,0,0.12,Matches,03a97c40
374,David Murphy,eng ENG,DF,Birmingham City,26,1984,10,3,431,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,b05e73d5
375,Jordon Mutch,eng ENG,MF,Birmingham City,18,1991,3,3,243,2.7,0,1,1,0,0,0,1,0,0,0.37,0.37,0,0.37,Matches,37c408cc
376,Boaz Myhill,wls WAL,GK,West Brom,27,1982,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7ca2d989
377,David N'Gog,fr FRA,FW,Liverpool,21,1989,25,9,1065,11.8,2,1,3,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,Matches,beec2968
378,Charles N'Zogbia,fr FRA,DFFW,Wigan Athletic,24,1986,34,32,2783,30.9,9,5,14,9,0,0,2,1,0.29,0.16,0.45,0.29,0.45,Matches,4e31f3e2
379,Nani,pt POR,FWMF,Manchester Utd,23,1986,33,31,2659,29.5,9,14,23,9,0,1,1,0,0.3,0.47,0.78,0.3,0.78,Matches,15e9c7e6
380,Samir Nasri,fr FRA,FWMF,Arsenal,23,1987,30,28,2383,26.5,10,1,11,9,1,1,4,0,0.38,0.04,0.42,0.34,0.38,Matches,165bed61
381,Ryan Nelsen,nz NZL,DF,Blackburn,32,1977,28,28,2412,26.8,3,3,6,3,0,0,5,1,0.11,0.11,0.22,0.11,0.22,Matches,510f2c7c
382,Gary Neville,eng ENG,DF,Manchester Utd,35,1975,3,3,205,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,1b013e33
383,Phil Neville,eng ENG,DFMF,Everton,33,1977,31,31,2657,29.5,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches,3db5e0ec
384,Mark Noble,eng ENG,MF,West Ham,23,1987,26,25,2140,23.8,4,3,7,0,4,4,7,0,0.17,0.13,0.29,0,0.13,Matches,ff527768
385,Ryan Noble,eng ENG,FW,Sunderland,19,1991,3,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7f758194
386,Kevin Nolan,eng ENG,MF,Newcastle,28,1982,30,30,2651,29.5,12,1,13,11,1,1,10,0,0.41,0.03,0.44,0.37,0.41,Matches,3d307105
387,Frank Nouble,eng ENG,FWMF,West Ham,18,1991,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0a8e46da
388,Steven Nzonzi,fr FRA,MF,Blackburn,21,1988,21,13,1275,14.2,1,0,1,1,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches,c7526c18
389,Andy O'Brien,ie IRL,DF,Bolton,31,1979,2,1,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1719f6b2
390,Garry O'Connor,sct SCO,FW,Birmingham City,27,1983,3,2,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,07fffbc5
391,Jamie O'Hara,eng ENG,MF,Wolves,23,1986,14,13,1115,12.4,3,1,4,3,0,0,3,0,0.24,0.08,0.32,0.24,0.32,Matches,7578d85c
392,Gary O'Neil,eng ENG,MF,West Ham,27,1983,8,7,589,6.5,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches,754d4ac4
393,John O'Shea,ie IRL,DFMF,Manchester Utd,29,1981,20,18,1541,17.1,0,3,3,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches,7c1f4685
394,Gabriel Obertan,fr FRA,FWMF,Manchester Utd,21,1989,7,3,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,adc264a8
395,John Obi Mikel,ng NGA,MF,Chelsea,23,1987,28,28,2204,24.5,0,1,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches,424d5f72
396,Victor Obinna,ng NGA,FW,West Ham,23,1987,25,17,1575,17.5,3,3,6,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,c21b9d9d
397,Peter Odemwingie,ng NGA,FW,West Brom,29,1981,32,29,2678,29.8,15,7,22,13,2,3,3,0,0.5,0.24,0.74,0.44,0.67,Matches,b16150ac
398,Jonas Olsson,se SWE,DF,West Brom,27,1983,24,24,2123,23.6,1,3,4,1,0,0,1,0,0.04,0.13,0.17,0.04,0.17,Matches,48844a9b
399,Martin Olsson,se SWE,DFMF,Blackburn,22,1988,29,25,2373,26.4,2,1,3,2,0,0,3,0,0.08,0.04,0.11,0.08,0.11,Matches,2f72f79e
400,Nedum Onuoha,eng ENG,DF,Sunderland,23,1986,31,31,2662,29.6,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches,b28a0b5a
401,Brett Ormerod,eng ENG,FW,Blackpool,33,1976,19,6,716,8,1,2,3,1,0,0,0,0,0.13,0.25,0.38,0.13,0.38,Matches,fde1ce8d
402,Leon Osman,eng ENG,MF,Everton,29,1981,26,20,1811,20.1,4,5,9,4,0,0,4,0,0.2,0.25,0.45,0.2,0.45,Matches,a014c247
403,Michael Owen,eng ENG,FW,Manchester Utd,30,1979,11,1,238,2.6,2,0,2,2,0,0,1,0,0.76,0,0.76,0.76,0.76,Matches,88b3f52c
404,Daniel Pacheco,es ESP,FWMF,Liverpool,19,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5b2a4b8d
405,John Paintsil,gh GHA,DFMF,Fulham,29,1981,16,15,1343,14.9,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,2def72a3
406,Wilson Palacios,hn HON,MF,Tottenham,26,1984,21,16,1226,13.6,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,58df81fc
407,Scott Parker,eng ENG,MF,West Ham,29,1980,32,30,2738,30.4,5,2,7,5,0,0,8,0,0.16,0.07,0.23,0.16,0.23,Matches,65faf2a1
408,Stuart Parnaby,eng ENG,DF,Birmingham City,28,1982,5,5,403,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,389cc3d7
409,Roman Pavlyuchenko,ru RUS,FW,Tottenham,28,1981,29,18,1589,17.7,10,4,14,10,0,0,3,0,0.57,0.23,0.79,0.57,0.79,Matches,fd7afe52
410,Jermaine Pennant,eng ENG,MF,Stoke City,27,1983,29,26,2013,22.4,3,8,11,3,0,0,3,0,0.13,0.36,0.49,0.13,0.49,Matches,c6043950
411,James Perch,eng ENG,DFMF,Newcastle,24,1985,13,9,877,9.7,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,c461de51
412,Robin van Persie,nl NED,FW,Arsenal,26,1983,25,19,1770,19.7,18,7,25,16,2,3,4,0,0.92,0.36,1.27,0.81,1.17,Matches,3fcab3a8
413,Martin Petrov,bg BUL,FWMF,Bolton,31,1979,28,18,1463,16.3,3,5,8,3,0,0,0,0,0.18,0.31,0.49,0.18,0.49,Matches,011360ce
414,Stiliyan Petrov,bg BUL,MF,Aston Villa,31,1979,27,23,2065,22.9,1,2,3,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,Matches,61e5c1a8
415,Kevin Phillips,eng ENG,FW,Birmingham City,37,1973,14,5,493,5.5,1,0,1,1,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches,23d97ca1
416,Matt Phillips,sct SCO,FWMF,Blackpool,19,1991,27,6,1050,11.7,1,4,5,1,0,0,0,0,0.09,0.34,0.43,0.09,0.43,Matches,7bb5f40e
417,Steven Pienaar,za RSA,MF,Tottenham,28,1982,8,5,491,5.5,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches,8056f6e6
418,Steven Pienaar,za RSA,MF,Everton,28,1982,18,18,1569,17.4,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches,8056f6e6
419,Frédéric Piquionne,fr FRA,FW,West Ham,31,1978,34,26,2245,24.9,6,3,9,5,1,1,3,2,0.24,0.12,0.36,0.2,0.32,Matches,62f579c5
420,Robert Pirès,fr FRA,FWMF,Aston Villa,36,1973,9,2,254,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,59bfafcf
421,Mike Pollitt,eng ENG,GK,Wigan Athletic,38,1972,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a31d9d81
422,Christian Poulsen,dk DEN,MF,Liverpool,30,1980,12,9,742,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,4b83b362
423,Danny Pugh,eng ENG,DFMF,Stoke City,27,1982,10,5,528,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,7f60e79c
424,Jason Puncheon,eng ENG,MF,Blackpool,24,1986,11,6,647,7.2,3,0,3,3,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches,fd3f57ce
425,Paul Rachubka,eng ENG,GK,Blackpool,29,1981,2,1,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f3229025
426,Rafael,br BRA,DFMF,Manchester Utd,20,1990,16,15,1197,13.3,0,1,1,0,0,0,4,1,0,0.08,0.08,0,0.08,Matches,9a1f2e1c
427,Ramires,br BRA,MF,Chelsea,23,1987,29,22,1933,21.5,2,0,2,2,0,0,7,0,0.09,0,0.09,0.09,0.09,Matches,4cce2c67
428,Aaron Ramsey,wls WAL,MF,Arsenal,19,1990,7,5,354,3.9,1,0,1,1,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches,ef619b0b
429,Nile Ranger,eng ENG,FW,Newcastle,19,1991,24,1,588,6.5,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches,161e95ac
430,Abdul Razak,ci CIV,MF,Manchester City,17,1992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5e61927c
431,Andy Reid,ie IRL,MF,Sunderland,28,1982,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8c4c0cf8
432,Andy Reid,ie IRL,MF,Blackpool,28,1982,5,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8c4c0cf8
433,Steven Reid,ie IRL,DFMF,West Brom,29,1981,23,13,1287,14.3,1,5,6,1,0,0,3,0,0.07,0.35,0.42,0.07,0.42,Matches,e26f852b
434,Winston Reid,nz NZL,DF,West Ham,22,1988,7,3,407,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,562eed5c
435,Pepe Reina,es ESP,GK,Liverpool,27,1982,38,38,3420,38,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,e358587b
436,Nigel Reo-Coker,eng ENG,MF,Aston Villa,26,1984,30,24,2071,23,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,110d0643
437,Micah Richards,eng ENG,DF,Manchester City,22,1988,18,16,1399,15.5,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matches,ff87875a
438,Kieran Richardson,eng ENG,DFMF,Sunderland,25,1984,26,23,2039,22.7,4,3,7,4,0,0,9,0,0.18,0.13,0.31,0.18,0.31,Matches,d2bf40b4
439,Sam Ricketts,wls WAL,DF,Bolton,28,1981,17,14,1392,15.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,3f8ef948
440,Liam Ridgewell,eng ENG,DF,Birmingham City,26,1984,36,36,3174,35.3,4,0,4,4,0,0,6,1,0.11,0,0.11,0.11,0.11,Matches,7c9e057e
441,Cristian Riveros,py PAR,MF,Sunderland,27,1982,12,5,503,5.6,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches,49ad3514
442,Jason Roberts,gd GRN,FW,Blackburn,32,1978,25,13,1474,16.4,5,4,9,5,0,0,2,0,0.31,0.24,0.55,0.31,0.55,Matches,62487637
443,Jack Robinson,eng ENG,DF,Liverpool,16,1993,2,1,147,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,7399c7a8
444,Paul Robinson,eng ENG,DF,Bolton,31,1978,35,35,3150,35,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,80cdbbe1
445,Paul Robinson,eng ENG,GK,Blackburn,30,1979,36,36,3195,35.5,0,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,3515ba56
446,Rubén Rochina,es ESP,FWMF,Blackburn,19,1991,4,1,118,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ecd8c01e
447,Hugo Rodallega,co COL,FW,Wigan Athletic,25,1985,36,34,3025,33.6,9,1,10,9,0,0,4,1,0.27,0.03,0.3,0.27,0.3,Matches,9683d0b2
448,Rodrigo,es ESP,FWMF,Bolton,19,1991,17,4,503,5.6,1,1,2,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches,1fb1c435
449,Maxi Rodríguez,ar ARG,FWMF,Liverpool,29,1981,28,24,2034,22.6,10,0,10,10,0,0,2,0,0.44,0,0.44,0.44,0.44,Matches,4f06b1e0
450,Jack Rodwell,eng ENG,DFMF,Everton,19,1991,24,14,1420,15.8,0,1,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches,a07579ee
451,Wayne Rooney,eng ENG,FWMF,Manchester Utd,24,1985,28,25,2225,24.7,11,11,22,8,3,4,5,0,0.44,0.44,0.89,0.32,0.77,Matches,f07be45a
452,Danny Rose,eng ENG,DFMF,Tottenham,20,1990,4,4,350,3.9,0,1,1,0,0,0,0,0,0,0.26,0.26,0,0.26,Matches,89d10e53
453,Tomáš Rosický,cz CZE,MF,Arsenal,29,1980,21,8,938,10.4,0,1,1,0,0,1,3,0,0,0.1,0.1,0,0.1,Matches,dbb688e3
454,Wayne Routledge,eng ENG,FWMF,Newcastle,25,1985,17,10,996,11.1,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches,1d387eee
455,Bacary Sagna,fr FRA,DF,Arsenal,27,1983,33,33,2970,33,1,3,4,1,0,0,3,1,0.03,0.09,0.12,0.03,0.12,Matches,6ef56efd
456,Louis Saha,fr FRA,FW,Everton,31,1978,22,14,1366,15.2,7,0,7,7,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches,7106e4fe
457,Carlos Salcido,mx MEX,DFMF,Fulham,30,1980,23,22,1901,21.1,0,2,2,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches,190bc058
458,Míchel Salgado,es ESP,DF,Blackburn,34,1975,36,36,3026,33.6,0,2,2,0,0,0,9,0,0,0.06,0.06,0,0.06,Matches,68f36bc6
459,Christopher Samba,cg CGO,DF,Blackburn,26,1984,33,33,2877,32,4,0,4,4,0,0,3,1,0.13,0,0.13,0.13,0.13,Matches,e43cada1
460,Conor Sammon,ie IRL,FW,Wigan Athletic,23,1986,7,1,214,2.4,1,0,1,1,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches,70c3608c
461,Sandro,br BRA,MF,Tottenham,21,1989,19,11,1079,12,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches,c1c2c925
462,Tuncay Şanlı,tr TUR,FWMF,Stoke City,28,1982,14,5,718,8,1,2,3,1,0,0,0,0,0.13,0.25,0.38,0.13,0.38,Matches,e7a2dc67
463,Roque Santa Cruz,py PAR,FW,Manchester City,28,1981,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7f2107eb
464,Roque Santa Cruz,py PAR,FW,Blackburn,28,1981,9,7,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7f2107eb
465,Paul Scharner,at AUT,DFMF,West Brom,30,1980,33,33,2739,30.4,4,1,5,4,0,0,8,1,0.13,0.03,0.16,0.13,0.16,Matches,d8bcce3d
466,Paul Scholes,eng ENG,MF,Manchester Utd,35,1974,22,16,1537,17.1,1,3,4,1,0,0,9,0,0.06,0.18,0.23,0.06,0.23,Matches,24a3a72c
467,Mark Schwarzer,au AUS,GK,Fulham,37,1972,31,31,2790,31,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,da409c6f
468,Freddie Sears,eng ENG,FWMF,West Ham,20,1989,11,9,759,8.4,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,07059b2e
469,Philippe Senderos,ch SUI,DF,Fulham,25,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b1d82fc2
470,Stéphane Sessègnon,bj BEN,FWMF,Sunderland,26,1984,14,13,1183,13.1,3,3,6,2,1,1,2,0,0.23,0.23,0.46,0.15,0.38,Matches,35c5f9b1
471,Ryan Shawcross,eng ENG,DF,Stoke City,22,1987,36,36,3196,35.5,1,0,1,1,0,0,9,2,0.03,0,0.03,0.03,0.03,Matches,285a3d44
472,Jonjo Shelvey,eng ENG,MF,Liverpool,18,1992,15,0,340,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches,3727dd3c
473,Nicky Shorey,eng ENG,DFMF,West Brom,29,1981,28,25,2314,25.7,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches,9665e2ea
474,Ryan Shotton,eng ENG,DFFW,Stoke City,21,1988,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,09f82c6e
475,Mamady Sidibé,ml MLI,FW,Stoke City,30,1979,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c4fe1d3a
476,Steve Sidwell,eng ENG,MF,Aston Villa,27,1982,4,1,120,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ed083afd
477,Steve Sidwell,eng ENG,MF,Fulham,27,1982,12,10,943,10.5,2,1,3,2,0,0,3,0,0.19,0.1,0.29,0.19,0.29,Matches,ed083afd
478,David Silva,es ESP,FWMF,Manchester City,24,1986,35,30,2550,28.3,4,7,11,4,0,0,2,0,0.14,0.25,0.39,0.14,0.39,Matches,e2716bd0
479,Paulo da Silva,py PAR,DF,Sunderland,30,1980,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,47560da8
480,Danny Simpson,eng ENG,DF,Newcastle,23,1987,30,30,2685,29.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,3201b03d
481,Martin Škrtel,sk SVK,DF,Liverpool,25,1984,38,38,3420,38,2,1,3,2,0,0,8,0,0.05,0.03,0.08,0.05,0.08,Matches,defb905a
