,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
49,Nicklas Bendtner,dk DEN,FW,Arsenal,22,1988,17,3,511,5.7,2,1,3,2,0,0,2,0,0.35,0.18,0.53,0.35,0.53,Matches,9f9c57f0
50,Benjani,zw ZIM,FW,Blackburn,31,1978,18,6,662,7.4,3,0,3,3,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches,9fc277ee
51,Darren Bent,eng ENG,FW,Sunderland,26,1984,20,20,1743,19.4,8,0,8,5,3,3,1,0,0.41,0,0.41,0.26,0.26,Matches,fe97f10b
52,Darren Bent,eng ENG,FW,Aston Villa,26,1984,16,16,1398,15.5,9,1,10,9,0,0,0,0,0.58,0.06,0.64,0.58,0.64,Matches,fe97f10b
53,Marcus Bent,eng ENG,FW,Wolves,32,1978,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,69166246
54,David Bentley,eng ENG,MF,Birmingham City,25,1984,13,9,821,9.1,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches,a00fbcec
55,David Bentley,eng ENG,MF,Tottenham,25,1984,2,1,103,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,a00fbcec
56,Dimitar Berbatov,bg BUL,FW,Manchester Utd,29,1981,32,24,2208,24.5,20,4,24,20,0,0,1,0,0.82,0.16,0.98,0.82,0.98,Matches,f5781978
57,Christophe Berra,sct SCO,DF,Wolves,25,1985,32,31,2790,31,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches,8455984a
58,Ryan Bertrand,eng ENG,DFMF,Chelsea,20,1989,1,0,35,0.4,0,1,1,0,0,0,0,0,0,2.57,2.57,0,2.57,Matches,1226327
59,Leon Best,ie IRL,FW,Newcastle,23,1986,11,9,741,8.2,6,0,6,6,0,0,0,0,0.73,0,0.73,0.73,0.73,Matches,0780ab75
60,Habib Beye,sn SEN,DF,Aston Villa,32,1977,3,2,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,459b0b19
61,Diniyar Bilyaletdinov,ru RUS,MF,Everton,25,1985,26,10,932,10.4,2,2,4,2,0,0,1,1,0.19,0.19,0.39,0.19,0.39,Matches,7e8050c6
62,Mame Biram Diouf,sn SEN,FWMF,Blackburn,22,1987,27,17,1630,18.1,3,1,4,3,0,0,2,0,0.17,0.06,0.22,0.17,0.22,Matches,7f4f3e49
63,Robbie Blake,eng ENG,FWMF,Bolton,34,1976,8,0,47,0.5,1,0,1,1,0,0,0,0,1.91,0,1.91,1.91,1.91,Matches,ddc0a1fd
64,Luís Boa Morte,pt POR,FWMF,West Ham,32,1977,22,19,1499,16.7,0,2,2,0,0,0,7,0,0,0.12,0.12,0,0.12,Matches,59ab6332
65,Jérôme Boateng,de GER,DF,Manchester City,21,1988,16,14,1238,13.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2db2fd7b
66,Ruud Boffin,be BEL,GK,West Ham,22,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ad19ca64
67,Ádám Bogdán,hu HUN,GK,Bolton,22,1987,4,3,323,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,56f99ec7
68,Mauro Boselli,ar ARG,FW,Wigan Athletic,25,1985,8,5,496,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,Matches,284e865d
69,José Bosingwa,pt POR,DF,Chelsea,27,1982,20,13,1262,14,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,13dd442f
70,Lee Bowyer,eng ENG,MF,Birmingham City,33,1977,29,24,2042,22.7,4,1,5,4,0,0,7,0,0.18,0.04,0.22,0.18,0.22,Matches,f4fd57ba
71,Dedryck Boyata,be BEL,DF,Manchester City,19,1990,7,5,345,3.8,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches,7c473e12
72,Emmerson Boyce,bb BRB,DF,Wigan Athletic,30,1979,22,20,1669,18.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,84bfbd38
73,Michael Bradley,us USA,MF,Aston Villa,23,1987,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fd5e3a73
74,Titus Bramble,eng ENG,DF,Sunderland,29,1981,23,22,2003,22.3,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches,83ac7c3c
75,Wayne Bridge,eng ENG,DF,Manchester City,29,1980,3,1,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,86b982bc
76,Wayne Bridge,eng ENG,DF,West Ham,29,1980,15,15,1348,15,0,2,2,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches,86b982bc
77,Matthew Briggs,gy GUY,DF,Fulham,19,1991,3,3,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,182c89db
78,Wes Brown,eng ENG,DF,Manchester Utd,30,1979,7,4,429,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,659ccc97
79,Jeffrey Bruma,nl NED,DF,Chelsea,18,1991,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fbffc4b1
80,Chris Brunt,nir NIR,DFMF,West Brom,25,1984,34,34,3010,33.4,4,9,13,2,2,3,9,0,0.12,0.27,0.39,0.06,0.33,Matches,ec7e6ad1
81,Mark Bunn,eng ENG,GK,Blackburn,25,1984,3,2,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,a6738b6c
82,Gary Cahill,eng ENG,DF,Bolton,24,1985,36,36,3214,35.7,3,0,3,3,0,0,7,1,0.08,0,0.08,0.08,0.08,Matches,7914b9fe
83,Tim Cahill,au AUS,FWMF,Everton,30,1979,27,22,2016,22.4,9,3,12,9,0,0,4,0,0.4,0.13,0.54,0.4,0.54,Matches,e5a2dfc2
84,Gary Caldwell,sct SCO,DFMF,Wigan Athletic,28,1982,23,23,1976,22,0,1,1,0,0,0,7,1,0,0.05,0.05,0,0.05,Matches,5dc37f4a
85,Steven Caldwell,sct SCO,DF,Wigan Athletic,29,1980,10,8,815,9.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,6839f68e
86,DJ Campbell,eng ENG,FW,Blackpool,28,1981,31,30,2626,29.2,13,1,14,13,0,0,1,1,0.45,0.03,0.48,0.45,0.48,Matches,d9129797
87,Fraizer Campbell,eng ENG,FW,Sunderland,22,1987,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,81d63375
88,Sol Campbell,eng ENG,DFFW,Newcastle,35,1974,7,4,408,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,3e3b2fbd
89,John Carew,no NOR,FW,Stoke City,30,1979,10,7,615,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,91ef929d
90,John Carew,no NOR,FW,Aston Villa,30,1979,10,6,538,6,0,0,0,0,0,1,0,0,0,0,0,0,0,Matches,91ef929d
91,David Carney,au AUS,DFMF,Blackpool,26,1983,11,5,496,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f3041886
92,Stephen Carr,ie IRL,DF,Birmingham City,33,1976,38,38,3372,37.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,eb0ae1e9
93,Jamie Carragher,eng ENG,DFMF,Liverpool,32,1978,28,28,2486,27.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,d0ebce19
94,Michael Carrick,eng ENG,MF,Manchester Utd,29,1981,28,23,1972,21.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ab7263c1
95,Andy Carroll,eng ENG,FW,Liverpool,21,1989,7,5,445,4.9,2,0,2,2,0,0,1,0,0.4,0,0.4,0.4,0.4,Matches,b581987a
96,Andy Carroll,eng ENG,FW,Newcastle,21,1989,19,18,1625,18.1,11,3,14,11,0,0,4,0,0.61,0.17,0.78,0.61,0.78,Matches,b581987a
97,Scott Carson,eng ENG,GK,West Brom,24,1985,32,32,2880,32,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,3e1550ee
98,Craig Cathcart,nir NIR,DF,Blackpool,21,1989,30,28,2387,26.5,1,0,1,1,0,0,1,0,0.04,0,0.04,0.04,0.04,Matches,89e4b358
99,Lee Cattermole,eng ENG,MF,Sunderland,22,1988,23,22,1919,21.3,0,0,0,0,0,0,12,2,0,0,0,0,0,Matches,538e77d5
