,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
60,Sammy Braybrooke,eng ENG,MF,Leicester City,17,2004,23,21,1817,20.2,1,3,4,1,0,0,3,0,0.05,0.15,0.20,0.05,0.20,Matches,9f684e25
61,Kian Breckin,eng ENG,MF,Manchester City,17,2003,3,2,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ce3ed70d
62,Luke Brennan,eng ENG,MFFW,Blackburn,19,2001,24,12,1177,13.1,3,4,7,3,0,0,3,0,0.23,0.31,0.54,0.23,0.54,Matches,81ef454b
63,Joshua Brooking,eng ENG,DFMF,Chelsea,18,2002,19,17,1531,17.0,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,330f638c
64,James Brown,ie IRL,DFMF,Blackburn,23,1998,6,6,476,5.3,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,e53336c4
65,Jordan Brown,eng ENG,DFMF,Derby County,20,2001,6,5,473,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f5f4fdd2
66,Lewis Brunt,eng ENG,DFMF,Leicester City,20,2000,21,21,1804,20.0,3,0,3,0,3,3,2,1,0.15,0.00,0.15,0.00,0.00,Matches,a2081c6b
67,Lee Buchanan,eng ENG,DF,Derby County,20,2001,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45e95f21
68,D'Mani Bughail-Mellor,eng ENG,FW,Manchester Utd,20,2000,13,13,1145,12.7,8,3,11,8,0,0,0,0,0.63,0.24,0.86,0.63,0.86,Matches,ad556f81
69,Finley Burns,eng ENG,DF,Manchester City,18,2003,15,14,1282,14.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bebe4df1
70,Sam Burns,eng ENG,FWMF,Blackburn,18,2002,11,9,855,9.5,7,1,8,6,1,1,0,0,0.74,0.11,0.84,0.63,0.74,Matches,2d88cb9a
71,Mason Burstow,eng ENG,FW,Chelsea,17,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dab84ad2
72,Demico Burton,,DF,Derby County,,,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8abb2019
73,Nathan Butler-Oyedeji,eng ENG,FWMF,Arsenal,18,2003,11,3,326,3.6,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,3a686640
74,Luke Butterfield,sct SCO,MFDF,Everton,17,2003,16,12,1044,11.6,1,1,2,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,Matches,ffdb1087
75,Daniel Butterworth,eng ENG,FW,Blackburn,21,1999,3,3,270,3.0,1,2,3,1,0,0,1,0,0.33,0.67,1.00,0.33,1.00,Matches,5564eb4f
76,Adam Caddick,eng ENG,MF,Blackburn,16,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8dfdc59c
77,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,16264a81
